Course Code,Course Name
EECS 138,Introduction to Computing
EECS 140,Introd to Digital Logic Design
EECS 141,Intro to Digital Logic: Honors
EECS 168,Programming I
EECS 169,Programming I: Honors
EECS 202,Circuits I 
EECS 210,Discrete Structures
EECS 212,Circuits II
EECS 220,Electromagnetics I
EECS 268,Programming II
EECS 312,Electronic Circuits I
EECS 316,"Circuits, Electroncs&Instrmntn"
EECS 317,Electronics & Instrumentation
EECS 318,Circuits and Electronics Lab
EECS 330,Data Structures and Algorithms
EECS 348,Software Engineering I 
EECS 361,Signal and System Analysis
EECS 388,Embedded Systems 
EECS 399,Projects
EECS 412,Electronic Circuits II
EECS 441,Power Systems Engineering II
EECS 443,Digital Systems Design
EECS 444,Control Systems
EECS 447,Introductn to Database Systems
EECS 461,Probability and Statistics
EECS 465,Cyber Defense 
EECS 468,Programming Paradigms 
EECS 498,Honors Research
EECS 502,Senior Design Laboratory II 
EECS 510,Introdn to Theory of Computing
EECS 542,Computer Systems Design Lab II 
EECS 562,Intro to Communication Systems 
EECS 563,Intr to Communication Networks
EECS 565,Intro Informatn&Cmptr Security 
EECS 582,Cmptr Sci&Intrdspnry Cmpt Cpst 
EECS 592,Cybersecurity Design
EECS 623,Interdisciplinary Collab 
EECS 628,Fiber Optic Communicatn Systms
EECS 645,Computer Systems Architecture
EECS 649,Intr to Artificial Intelligenc
EECS 662,Programming Languages
EECS 678,Introdctn to Operating Systems
EECS 687,Mobile Security
EECS 692,Directed Reading
EECS 695,Software Reverse Engineering 
EECS 700,Special Topics
EECS 721,Antennas
EECS 730,Introduction to Bioinformatics
EECS 739,Parallel Scientific Computing 
EECS 743,Advanced Computer Architecture
EECS 753,Embd&Real Time Computer Systms
EECS 762,Programming Languag Foundatn I 
EECS 782,Numerical Analysis II 
EECS 787,Mobile Security 
EECS 795,Software Reverse Engineering
EECS 800,Special Topics
EECS 801,Directed Graduate Readings
EECS 802,EECS Colqm&Sem Profsnl Issues 
EECS 820,Advanced Electromagnetics 
EECS 836,Machine Learning
EECS 841,Computer Vision
EECS 844,Adaptive Signal Processing
EECS 891,Graduate Problems
EECS 899,Master's Thesis or Report
EECS 998,Post-Master's Research
EECS 999,Doctoral Dissertation
